s.n.,Player_Name,Matches_Played,Kills,Deaths,Assists,Damage_Dealt,Headshots,Wins,Top_10s,Revives,Distance_Traveled,Weapons_Used,Time_Survived,Rank
1,ThunderStrike,409,923,267,134,21037,288,55,258,128,98234,18,40128,Silver
2,Frostbite,178,421,105,63,10572,147,18,68,39,52590,8,18743,Silver
3,SteelStorm,176,448,83,52,10374,142,18,67,32,49876,8,19632,Silver
4,SteelStorm,176,448,83,52,10374,142,18,67,32,49876,8,19632,Silver
5,SteelStorm,176,448,83,52,10374,142,18,67,32,49876,8,19632,Silver
6,SteelStorm,176,448,83,52,10374,142,18,67,32,49876,8,19632,Silver
7,WickedWitch,176,387,78,47,9867,127,21,69,35,49785,9,19876,Silver
8,StealthMaster,250,587,143,98,15243,234,32,145,67,72560,12,28976,Gold
9,SpeedDemon,143,368,68,42,9865,123,20,72,36,52072,8,16834,Gold
10,RapidShadow,201,539,93,68,12689,165,26,89,42,59871,9,21986,Gold
11,Frostbite,197,501,105,64,11634,149,25,85,43,57401,10,21345,Gold
12,SilentShadow,193,483,99,63,11968,155,22,78,40,53481,10,21856,Gold
13,SkyDancer,195,502,108,66,12683,169,24,83,42,55581,9,22568,Gold
14,FrostFang,204,529,104,70,13642,178,29,96,48,57645,10,23589,Gold
15,ShadowWisp,198,517,101,63,12465,172,23,81,43,54497,9,21365,Gold
16,Frostbite,197,501,105,64,11634,149,25,85,43,57401,10,21345,Gold
17,SilentShadow,193,483,99,63,11968,155,22,78,40,53481,10,21856,Gold
18,SkyDancer,195,502,108,66,12683,169,24,83,42,55581,9,22568,Gold
19,FrostFang,204,529,104,70,13642,178,29,96,48,57645,10,23589,Gold
20,ShadowWisp,198,517,101,63,12465,172,23,81,43,54497,9,21365,Gold
21,Frostbite,197,501,105,64,11634,149,25,85,43,57401,10,21345,Gold
22,SilentShadow,193,483,99,63,11968,155,22,78,40,53481,10,21856,Gold
23,SkyDancer,195,502,108,66,12683,169,24,83,42,55581,9,22568,Gold
24,FrostFang,204,529,104,70,13642,178,29,96,48,57645,10,23589,Gold
25,ShadowWisp,198,517,101,63,12465,172,23,81,43,54497,9,21365,Gold
26,Frostbite,197,501,105,64,11634,149,25,85,43,57401,10,21345,Gold
27,SilentShadow,193,483,99,63,11968,155,22,78,40,53481,10,21856,Gold
28,SkyDancer,195,502,108,66,12683,169,24,83,42,55581,9,22568,Gold
29,FrostFang,204,529,104,70,13642,178,29,96,48,57645,10,23589,Gold
30,ShadowWisp,198,517,101,63,12465,172,23,81,43,54497,9,21365,Gold
31,ShadowStrike,215,562,96,74,13452,163,30,101,47,56623,10,23184,Gold
32,FrostyFox,197,501,105,64,11634,149,25,85,43,57401,10,21345,Gold
33,PhantomGhost,185,471,91,55,11876,138,22,74,37,52103,9,20763,Gold
34,BlazingStorm,193,518,109,71,12876,193,25,87,43,55589,10,23259,Gold
35,FrostFire,211,548,117,79,13687,197,30,100,49,58976,10,25068,Gold
36,FrostFire,191,501,114,73,12678,184,26,88,44,56489,10,23746,Gold
37,RuthlessReaper,198,512,103,68,12987,186,24,84,42,54278,10,22678,Gold
38,CrimsonRogue,195,519,107,69,12789,191,26,86,44,55894,10,23256,Gold
39,FrozenFlame,212,543,116,78,13678,196,30,100,49,59278,10,24967,Gold
40,VengefulViper,203,534,112,75,13078,188,29,95,48,56298,10,23689,Gold
41,SilverHawk,194,526,106,68,12987,193,27,87,43,55698,10,23456,Gold
42,StarBlade,214,562,119,80,13876,200,30,100,51,59968,10,25057,Gold
43,MysticSerpent,207,539,111,76,13278,190,29,95,48,56478,10,23879,Gold
44,CrimsonRogue,195,519,107,69,12789,191,26,86,44,55894,10,23256,Gold
45,FrozenFlame,212,543,116,78,13678,196,30,100,49,59278,10,24967,Gold
46,VengefulViper,203,534,112,75,13078,188,29,95,48,56298,10,23689,Gold
47,SilverHawk,194,526,106,68,12987,193,27,87,43,55698,10,23456,Gold
48,StarBlade,214,562,119,80,13876,200,30,100,51,59968,10,25057,Gold
49,MysticSerpent,207,539,111,76,13278,190,29,95,48,56478,10,23879,Gold
50,CrimsonRogue,195,519,107,69,12789,191,26,86,44,55894,10,23256,Gold
51,FrozenFlame,212,543,116,78,13678,196,30,100,49,59278,10,24967,Gold
52,VengefulViper,203,534,112,75,13078,188,29,95,48,56298,10,23689,Gold
53,SilverHawk,194,526,106,68,12987,193,27,87,43,55698,10,23456,Gold
54,StarBlade,214,562,119,80,13876,200,30,100,51,59968,10,25057,Gold
55,MysticSerpent,207,539,111,76,13278,190,29,95,48,56478,10,23879,Gold
56,DarkReaper,197,511,104,68,12689,190,26,85,43,55576,10,23467,Gold
57,FlareRogue,215,561,118,79,13678,197,30,100,50,59789,10,25168,Gold
58,SapphireViper,210,549,113,74,13489,189,29,96,48,56789,10,24067,Gold
59,BlazingSorcerer,203,521,109,72,13123,193,27,91,45,55487,10,23267,Gold
60,NinjaGamer,186,492,84,56,11786,156,28,97,48,60924,10,21764,Platinum
61,BlazeFury,288,642,156,74,14238,189,35,129,57,68894,11,27345,Platinum
62,SwiftStriker,194,511,87,58,13579,182,23,83,51,56978,9,24173,Platinum
63,VenomousViper,210,566,132,71,13985,187,27,98,46,58647,10,22764,Platinum
64,StormChaser,257,674,158,95,15482,212,36,119,58,64279,11,26987,Platinum
65,CrimsonTide,224,589,124,88,14257,195,31,105,53,59875,11,24167,Platinum
66,VengefulViper,212,576,134,76,14398,197,28,100,50,57698,10,23457,Platinum
67,LethalLynx,223,612,132,87,15234,211,32,111,55,60987,11,25467,Platinum
68,ScarletStrider,256,659,159,98,15679,224,35,116,57,63482,11,26346,Platinum
69,RagingRaptor,271,698,167,111,16589,240,37,130,62,66934,12,27789,Platinum
70,VenomStrike,223,593,136,84,14275,201,31,105,53,58876,10,24257,Platinum
71,VenomousViper,210,566,132,71,13985,187,27,98,46,58647,10,22764,Platinum
72,StormChaser,257,674,158,95,15482,212,36,119,58,64279,11,26987,Platinum
73,CrimsonTide,224,589,124,88,14257,195,31,105,53,59875,11,24167,Platinum
74,VengefulViper,212,576,134,76,14398,197,28,100,50,57698,10,23457,Platinum
75,LethalLynx,223,612,132,87,15234,211,32,111,55,60987,11,25467,Platinum
76,ScarletStrider,256,659,159,98,15679,224,35,116,57,63482,11,26346,Platinum
77,RagingRaptor,271,698,167,111,16589,240,37,130,62,66934,12,27789,Platinum
78,VenomStrike,223,593,136,84,14275,201,31,105,53,58876,10,24257,Platinum
79,VenomousViper,210,566,132,71,13985,187,27,98,46,58647,10,22764,Platinum
80,StormChaser,257,674,158,95,15482,212,36,119,58,64279,11,26987,Platinum
81,CrimsonTide,224,589,124,88,14257,195,31,105,53,59875,11,24167,Platinum
82,VengefulViper,212,576,134,76,14398,197,28,100,50,57698,10,23457,Platinum
83,LethalLynx,223,612,132,87,15234,211,32,111,55,60987,11,25467,Platinum
84,ScarletStrider,256,659,159,98,15679,224,35,116,57,63482,11,26346,Platinum
85,RagingRaptor,271,698,167,111,16589,240,37,130,62,66934,12,27789,Platinum
86,VenomStrike,223,593,136,84,14275,201,31,105,53,58876,10,24257,Platinum
87,VenomousViper,210,566,132,71,13985,187,27,98,46,58647,10,22764,Platinum
88,StormChaser,257,674,158,95,15482,212,36,119,58,64279,11,26987,Platinum
89,CrimsonTide,224,589,124,88,14257,195,31,105,53,59875,11,24167,Platinum
90,VengefulViper,212,576,134,76,14398,197,28,100,50,57698,10,23457,Platinum
91,LethalLynx,223,612,132,87,15234,211,32,111,55,60987,11,25467,Platinum
92,ScarletStrider,256,659,159,98,15679,224,35,116,57,63482,11,26346,Platinum
93,RagingRaptor,271,698,167,111,16589,240,37,130,62,66934,12,27789,Platinum
94,VenomStrike,223,593,136,84,14275,201,31,105,53,58876,10,24257,Platinum
95,BlazingSun,263,692,158,89,16273,207,39,132,63,64402,12,27689,Platinum
96,ViperVenom,221,621,154,86,14598,193,29,102,48,60986,11,24872,Platinum
97,CrimsonReaper,278,719,185,118,16678,218,36,128,62,68591,13,29145,Platinum
98,StormBreaker,213,577,126,93,14123,204,28,99,50,59674,10,24687,Platinum
99,SapphireSword,238,621,145,102,15346,219,33,111,55,61598,11,25647,Platinum
100,DragonSlayer,229,619,141,97,14894,213,31,105,52,60982,11,25567,Platinum
101,SilverShadow,218,589,132,89,14389,207,30,100,50,59976,10,25046,Platinum
102,EagleEye,226,604,155,100,15234,216,32,110,56,61875,11,26135,Platinum
103,RapidBlaze,202,537,122,82,13367,189,28,93,47,57894,9,24256,Platinum
